Nome do relatório: Relatório de indicadores sportify
Detalhes do relatório: Por dia
Relatório de entidade primária: Anúncio
Relatório de intervalo de datas: 2026-04-01 - 2026-04-09 (UTC)
Relatório de dados em: 2026-04-10 18:44:57 (UTC)

ID da campanha,Nome da campanha,ID do anúncio,Nome do anúncio,Formato publicitário,Data,Gasto,Impressões com streams,Frequência,Alcance,Cliques,CTR,Custo por clique,CPM
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/07,24.07,2794.00,1.01,2780.00,2.00,.07,-,8.61
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/08,10.96,1260.00,1.01,1252.00,0,.00,-,8.70
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/09,12.01,1357.00,1.00,1357.00,3.00,.22,-,8.85
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/10,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/01,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/02,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/03,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/04,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/05,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/06,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/07,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/08,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/09,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,7869206b-c4c7-4b98-8a55-c9b93630b9cc,Vídeo - Depostos,Vídeo,2026/04/10,.00,0,.00,0,0,.00,-,.00
